"Dimension","base_Spearman","en_ft_Spearman","nl_ft_Spearman","Z_base_vs_en","p_base_vs_en","Z_base_vs_nl","p_base_vs_nl","Z_en_vs_nl","p_en_vs_nl"
"Horen",0.257794269562644,0.792791093231038,0.813742171289065,-24.5202717675037,0,-26.9436281852832,0,-3.18538537099721,0.00144561361304119
"Proeven",0.307196521285957,0.550071222737212,0.503603808600714,-10.3387284094494,0,-7.79501581182639,6.43929354282591e-15,2.71405879076698,0.00664643697343492
"Voelen",-0.128394108360955,0.797877779937313,0.819120592413785,-31.2500442379942,0,-32.912298260994,0,-3.05454015131765,0.00225405840319559
"Sensaties",0.495871596715754,0.728226591116302,0.759819948436219,-13.5656138320941,0,-15.6169615129904,0,-3.22038977560934,0.00128016410931631
"Ruiken",0.369831315147519,0.601161839480815,0.56196301250779,-10.923437667083,0,-8.51369151179817,0,2.54858563283241,0.0108160728958364
"Zien",-0.0760895793552618,0.767697668428997,0.835600645908695,-29.5857800778253,0,-33.3819470070313,0,-10.4870968714211,0
